url,title,date,thumbnail,content,celebrity,source,attribution,relevance_score,relevance_reason,headline,subheading,category,subcategory,category_reason
https://www.koreaherald.com/article/10412764,"At CJ ENM's Visionary tribute, celebrating border tale that changed Korean cinema",2025-02-05,https://wimg.heraldcorp.com/news/cms/2025/02/05/news-p.v1.20250205.c855fa824b994bb78cceb1fa488005f3_T1.jpg?type=h&h=240,"Park Chan-wook and cast reunite to mark 'Joint Security Area'
In the autumn of 2000, as South Korea and North Korea engaged in their first tentative steps toward reconciliation, a film about four soldiers from the South and the North playing cards across the world's most fortified border opened in t...",leebyunghun,Korea Herald,"{'originalSource': 'Korea Herald', 'originalUrl': 'https://www.koreaherald.com/article/10412764', 'publicationDate': '2025-02-05', 'accessDate': '2025-02-27T11:55:35.043940', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",4.0,"The article appears highly relevant to Lee Byung-hun as it discusses ""Joint Security Area,"" a significant Korean film from 2000 directed by Park Chan-wook. While the excerpt doesn't explicitly mention Lee Byung-hun by name in the provided portion, he was one of the main stars of this film, playing a South Korean soldier. The article mentions a reunion of the cast with Park Chan-wook for a tribute event, which would likely include Lee Byung-hun as a key cast member. This content directly relates to his work as an actor in a film that was important to Korean cinema.",Lee Byung-hun Reunites with Park Chan-wook for 'Joint Security Area' Anniversary,Actor Lee Byung-hun joins fellow cast members to commemorate the landmark Korean film that debuted amid historic inter-Korean reconciliation efforts,Acting,Film,"The article reports on Lee Byung-hun reuniting with director Park Chan-wook for an anniversary event related to their film ""Joint Security Area,"" which is directly connected to his work as an actor in cinema."
https://www.koreaherald.com/article/10386831,Lee Byung-hun discusses assuming 3 identities in ‘Squid Game’ season 2,2025-01-09,https://wimg.heraldcorp.com/news/cms/2025/01/09/news-p.v1.20250109.e63785eae9dd436eb17985a1e8d0c3a1_T1.jpg?type=h&h=240,"After cameo appearance in first season, Lee now returns as main villain
A household name in Korea with a career spanning 34 years, Lee Byung-hun returns to the screen as the enigmatic villain in season two of Netflix’s global hit ""Squid Game.",leebyunghun,Korea Herald,"{'originalSource': 'Korea Herald', 'originalUrl': 'https://www.koreaherald.com/article/10386831', 'publicationDate': '2025-01-09', 'accessDate': '2025-02-27T11:55:35.046816', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",5.0,"The article is directly about Lee Byung-hun, explicitly naming him as the actor who will play the villain in ""Squid Game"" season 2 after a cameo in the first season. The content focuses on his professional acting career, noting his 34 years in the industry and his role in this Netflix series. This perfectly aligns with his occupation as a male actor, making the article highly relevant to the specified individual.","Lee Byung-hun Returns as Main Villain in ""Squid Game"" Season Two",Korean acting veteran Lee Byung-hun steps up from cameo role to primary antagonist in Netflix's global hit series,Acting,Drama/Series,"The article reports on Lee Byung-hun's role in the Netflix series ""Squid Game,"" specifically noting his transition from a cameo appearance to becoming the main antagonist in the show's second season. This is a factual report about his acting career in a streaming television series."
https://en.yna.co.kr/view/AEN20250131000851315?section=search,(LEAD) 'Squid Game' Season 3 to premiere June 27,2025-01-31,https://img.yna.co.kr/etc/inner/EN/2025/01/31/AEN20250131000851315_10_i_P2.jpg,"...fering a glimpse into ""what's next for Squid Game hero Gi-hun (Lee Jung-jae), his enigmatic antagonist Front Man (Lee Byung-hun), and more characters caught in the terrifying competition.""
  ...",leebyunghun,Yonhap News,"{'originalSource': 'Yonhap News', 'originalUrl': 'https://en.yna.co.kr/view/AEN20250131000851315?section=search', 'publicationDate': '2025-01-31', 'accessDate': '2025-02-27T11:57:12.055278', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",5.0,"The article directly mentions Lee Byung-hun by name, identifying him as playing the character ""Front Man"" in the Netflix series ""Squid Game."" The content specifically relates to his work as an actor in this production, noting his role as an ""enigmatic antagonist"" in the upcoming season. This perfectly aligns with his occupation as a male actor, and the context is entirely appropriate for someone in the acting profession.",Lee Byung-hun Returns as Front Man in Upcoming Squid Game Season,Actor Lee Byung-hun will reprise his role as the enigmatic antagonist in the highly anticipated continuation of the Netflix series,Acting,Drama/Series,"The article reports that Lee Byung-hun will reprise his role in the Netflix series ""Squid Game,"" which is factual information about his acting career in a streaming television series."
https://en.yna.co.kr/view/AEN20250131000800315?section=search,'Squid Game' Season 3 to premiere June 27,2025-01-31,https://img.yna.co.kr/etc/inner/EN/2025/01/31/AEN20250131000800315_03_i_P2.jpg,"...fering a glimpse into ""what's next for Squid Game hero Gi-hun (Lee Jung-jae), his enigmatic antagonist Front Man (Lee Byung-hun), and more characters caught in the terrifying competition.""
  ...",leebyunghun,Yonhap News,"{'originalSource': 'Yonhap News', 'originalUrl': 'https://en.yna.co.kr/view/AEN20250131000800315?section=search', 'publicationDate': '2025-01-31', 'accessDate': '2025-02-27T11:57:12.056822', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",5.0,"The article directly mentions Lee Byung-hun by name, identifying him as playing the character ""Front Man"" in the Netflix series ""Squid Game."" This is directly relevant to his career as a male actor, which is his primary profession. The article specifically discusses his role in the upcoming third season of the series, which is scheduled to premiere on June 27. This content is directly related to his professional work as an actor and contains factual information about his casting in a specific production.",Lee Byung-hun Returns as Front Man in Upcoming Squid Game Season,Actor Lee Byung-hun will reprise his role as the enigmatic antagonist in the highly anticipated continuation of the Netflix series,Acting,Drama/Series,"The article reports that Lee Byung-hun will reprise his role in the Netflix series ""Squid Game,"" which is factual information about his acting career in a streaming television series."
https://en.yna.co.kr/view/AEN20250121002200315?section=search,Director Park Chan-wook completes filming long-awaited 'No Other Choice',2025-01-21,https://img.yna.co.kr/etc/inner/EN/2025/01/21/AEN20250121002200315_01_i_P2.jpg,"...n feel proud of.""


   
   Lead actor Lee Byung-hun, most recently seen as the Front Man in ... the film as a fan of both the director and Lee.
   ""Watching the filming process, I ...id.



   The film follows Man-soo (played by Lee), a middle-aged man who, after being suddenly ...",leebyunghun,Yonhap News,"{'originalSource': 'Yonhap News', 'originalUrl': 'https://en.yna.co.kr/view/AEN20250121002200315?section=search', 'publicationDate': '2025-01-21', 'accessDate': '2025-02-27T11:57:12.058248', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",5.0,"The article directly mentions Lee Byung-hun as the lead actor in Park Chan-wook's film ""No Other Choice,"" describing his role as Man-soo. The content is specifically about his work as an actor in this film project, which aligns perfectly with his occupation as a male actor. The article provides factual information about his casting and character in the film, making it highly relevant to Lee Byung-hun's professional acting career.","Lee Byung-hun Stars as Man-soo in New Film After ""Front Man"" Role","Acclaimed actor Lee Byung-hun portrays a middle-aged character in his latest project, continuing his diverse career in Korean cinema.",Acting,Film,"The article directly reports on Lee Byung-hun's role as Man-soo in a new film project, following his previous role in ""Front Man."" The content is specifically about his acting career in Korean cinema, mentioning his portrayal of a middle-aged character in this latest film project."
https://en.yna.co.kr/view/AEN20250116007800315?section=search,"Award-winning 'Squid Game' designer shares insights on sets, color choices for Season 2",2025-01-16,https://img.yna.co.kr/etc/inner/EN/2025/01/16/AEN20250116007800315_05_i_P2.jpg,"...ze the authority and power of the Front Man, Hwang In-ho (played by Lee Byung-hun). She said that effectively using violet was particularly ...chose the motel set from episodes 1 and 2, where the protagonist Gi-hun (Lee Jung-jae) confronts the Recruiter (Gong Yoo) and engages in a deadly ...",leebyunghun,Yonhap News,"{'originalSource': 'Yonhap News', 'originalUrl': 'https://en.yna.co.kr/view/AEN20250116007800315?section=search', 'publicationDate': '2025-01-16', 'accessDate': '2025-02-27T11:57:12.059582', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",5.0,"The article directly mentions Lee Byung-hun by name, identifying him as the actor who plays the character Hwang In-ho (Front Man) in ""Squid Game."" This is directly relevant to his career as an actor, which is his primary occupation. The article discusses production design elements related to his character in the show, making it highly relevant to his professional work. The context is appropriate for a male actor appearing in a major television series.","Lee Byung-hun Portrays Front Man Hwang In-ho in ""Squid Game""","Actor Lee Byung-hun's character represents authority and power in the series, with costume designers using violet to emphasize his commanding presence.",Acting,Drama/Series,"The article provides factual information about Lee Byung-hun's role as Front Man Hwang In-ho in the series ""Squid Game,"" including details about his character's representation of authority and the costume design choices that emphasize his presence in the show."
https://en.yna.co.kr/view/AEN20241226002900315?section=search,Netflix's global phenomenon 'Squid Game' Season 2 premieres Thurs.,2024-12-26,https://img.yna.co.kr/etc/inner/EN/2024/12/26/AEN20241226002900315_01_i_P2.jpg,"...he new chapter follows protagonist Gi-hun (Lee Jung-jae), who abandons his plans to leave ...ing season, Gi-hun confronts the Front Man (Lee Byung-hun), who seeks to thwart his attempts to ...ree nominations: best TV drama, best actor for Lee Jung-jae and best supporting actor for O Yeong-...",leebyunghun,Yonhap News,"{'originalSource': 'Yonhap News', 'originalUrl': 'https://en.yna.co.kr/view/AEN20241226002900315?section=search', 'publicationDate': '2024-12-26', 'accessDate': '2025-02-27T11:57:12.060632', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",5.0,"The article directly mentions Lee Byung-hun by name, identifying him as playing the character of the Front Man in Netflix's ""Squid Game"" Season 2. This is directly relevant to his career as an actor, which is his primary occupation. The article discusses his role in this globally popular series, which aligns with his professional work. The context is appropriate for a male actor appearing in a major streaming production.",Lee Byung-hun Returns as Front Man in New Season of Popular Drama Series,Actor Lee Byung-hun portrays the antagonist who challenges protagonist Gi-hun's efforts in the award-nominated series,Acting,Drama/Series,The article reports on Lee Byung-hun's return to a drama series in which he portrays an antagonist character. The content specifically focuses on his acting role in a continuing television series that has received award nominations.
https://en.yna.co.kr/view/AEN20241112003500315?section=search,'Squid Game' Season 2 takes darker turn as Gi-hun transforms with new purpose,2024-11-13,https://img.yna.co.kr/etc/inner/EN/2024/11/12/AEN20241112003500315_03_i_P2.jpg,"...f the ""Front Man,"" and ""Salesman,"" portrayed by Lee Byung-hun and Gong Yoo, respectively, these roles have gained greater ...itment both actors showed during the production process.
   ""Actor Lee is the type who asks lots of questions about his character, no matter ...",leebyunghun,Yonhap News,"{'originalSource': 'Yonhap News', 'originalUrl': 'https://en.yna.co.kr/view/AEN20241112003500315?section=search', 'publicationDate': '2024-11-13', 'accessDate': '2025-02-27T11:57:12.061659', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",5.0,"The article directly mentions Lee Byung-hun by name, identifying him as the actor who portrays the ""Front Man"" character in ""Squid Game"" Season 2. The content specifically discusses his professional work as an actor, noting his approach to character development (""asks lots of questions about his character""). This clearly relates to his occupation as an actor, and the context of appearing in a major television production aligns with what would be expected for someone in this profession. The article is directly relevant to his acting career.",,,,,
https://en.yna.co.kr/view/AEN20240812004000315?section=search,Filming starts for Park Chan-wook's new film,2024-08-12,https://img.yna.co.kr/etc/inner/EN/2024/08/12/AEN20240812004000315_01_i_P2.jpg,"...t to begin Saturday with a cast including Lee Byung-hun and Son Ye-jin, the film's distributor ...lake. 
   ""Concrete Utopia"" star Lee Byung-hun will portray the main character, Man-soo. ...rong wife, A-ra.
   The cast also includes Lee Sung-min from ""Handsome Guys"" (...",leebyunghun,Yonhap News,"{'originalSource': 'Yonhap News', 'originalUrl': 'https://en.yna.co.kr/view/AEN20240812004000315?section=search', 'publicationDate': '2024-08-12', 'accessDate': '2025-02-27T11:57:12.062649', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",5.0,"The article directly mentions Lee Byung-hun by name multiple times, specifically identifying him as the main character (Man-soo) in Park Chan-wook's new film. The article is focused on his work as an actor, noting his casting alongside other performers like Son Ye-jin. The article also references his previous work in ""Concrete Utopia,"" confirming this is about his professional acting career. The content is directly relevant to his occupation as a male actor.","Lee Byung-hun to Star as Man-soo in ""Concrete Utopia""",Acclaimed actor Lee Byung-hun leads the cast alongside Son Ye-jin in the upcoming film set to begin production this Saturday.,Acting,Film,"The article reports that Lee Byung-hun will star as the character Man-soo in the upcoming film ""Concrete Utopia"" alongside Son Ye-jin, with production scheduled to begin soon. This is a straightforward announcement about a film casting and production schedule."
https://en.yna.co.kr/view/AEN20231124008000315?section=search,'Smugglers' wins best picture at Blue Dragon Awards,2023-11-24,https://img.yna.co.kr/etc/inner/EN/2023/11/24/AEN20231124008000315_02_i_P2.jpg,"...reviews from audiences and critics.
   The best actor award went to Lee Byung-hun of the disaster thriller ""Concrete Utopia"" that centers ...tment building that survived a catastrophic earthquake in Seoul. 
   Lee also received the same award from the Daejong International Film ...",leebyunghun,Yonhap News,"{'originalSource': 'Yonhap News', 'originalUrl': 'https://en.yna.co.kr/view/AEN20231124008000315?section=search', 'publicationDate': '2023-11-24', 'accessDate': '2025-02-27T11:57:12.066274', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",5.0,"The article directly mentions Lee Byung-hun by name, stating he won the best actor award for his performance in the disaster thriller ""Concrete Utopia."" The content specifically relates to his work as an actor, noting his recognition at both the Blue Dragon Awards and the Daejong International Film event. This perfectly aligns with his occupation as a male actor, focusing on his professional achievements in the film industry.","Lee Byung-hun Wins Best Actor Award for ""Concrete Utopia""",Acclaimed actor Lee Byung-hun receives recognition for his performance in disaster thriller about a surviving apartment building after a Seoul earthquake,Acting,Film/TV/drama Awards,"The article reports that Lee Byung-hun received a Best Actor Award for his performance in the film ""Concrete Utopia,"" which is described as a disaster thriller about a surviving apartment building after a Seoul earthquake. This is a factual report about an actor receiving recognition for his work in a film."
